timestamp,studio,slot_start,slot_end,percentage,level
2026-08-15 04:40:22,Bielefeld City,closed,closed,0,CLOSED
2026-08-15 07:13:09,Bielefeld City,07:00:00,08:00:00,4,LOW
2026-08-15 07:13:41,Bielefeld City,07:00:00,08:00:00,4,LOW
2026-08-15 07:14:36,Bielefeld City,07:00:00,08:00:00,4,LOW
2026-08-15 07:49:02,Bielefeld Schildesche,07:00:00,08:00:00,16,LOW
2026-08-15 07:49:02,Bielefeld Sieker,07:00:00,08:00:00,5,LOW
2026-08-15 07:49:02,Bielefeld City,07:00:00,08:00:00,7,LOW
2026-08-15 07:50:07,Bielefeld Schildesche,07:00:00,08:00:00,16,LOW
2026-08-15 07:50:07,Bielefeld Sieker,07:00:00,08:00:00,5,LOW
2026-08-15 07:50:07,Bielefeld City,07:00:00,08:00:00,7,LOW
2026-08-15 07:51:27,Bielefeld Schildesche,07:00:00,08:00:00,17,LOW
2026-08-15 07:51:27,Bielefeld Sieker,07:00:00,08:00:00,5,LOW
2026-08-15 07:51:27,Bielefeld City,07:00:00,08:00:00,7,LOW
2026-08-15 07:53:42,Bielefeld Schildesche,07:00:00,08:00:00,17,LOW
2026-08-15 07:53:42,Bielefeld Sieker,07:00:00,08:00:00,5,LOW
2026-08-15 07:53:42,Bielefeld City,07:00:00,08:00:00,7,LOW
2026-08-15 08:37:58,Bielefeld Schildesche,08:00:00,09:00:00,20,LOW
2026-08-15 08:37:58,Bielefeld Sieker,08:00:00,09:00:00,7,LOW
2026-08-15 08:37:58,Bielefeld City,08:00:00,09:00:00,10,LOW
2026-08-15 09:16:36,Bielefeld Schildesche,09:00:00,10:00:00,22,LOW
2026-08-15 09:16:36,Bielefeld Sieker,09:00:00,10:00:00,10,LOW
2026-08-15 09:16:36,Bielefeld City,09:00:00,10:00:00,10,LOW
2026-08-15 09:53:02,Bielefeld Schildesche,09:00:00,10:00:00,27,LOW
2026-08-15 09:53:02,Bielefeld Sieker,09:00:00,10:00:00,12,LOW
2026-08-15 09:53:02,Bielefeld City,09:00:00,10:00:00,14,LOW
2026-08-15 10:29:29,Bielefeld Schildesche,10:00:00,11:00:00,25,LOW
2026-08-15 10:29:29,Bielefeld Sieker,10:00:00,11:00:00,15,LOW
2026-08-15 10:29:29,Bielefeld City,10:00:00,11:00:00,20,LOW
2026-08-15 10:58:25,Bielefeld Schildesche,10:00:00,11:00:00,28,LOW
2026-08-15 10:58:25,Bielefeld Sieker,10:00:00,11:00:00,18,LOW
2026-08-15 10:58:25,Bielefeld City,10:00:00,11:00:00,19,LOW
2026-08-15 11:33:39,Bielefeld Schildesche,11:00:00,12:00:00,27,LOW
2026-08-15 11:33:39,Bielefeld Sieker,11:00:00,12:00:00,18,LOW
2026-08-15 11:33:39,Bielefeld City,11:00:00,12:00:00,17,LOW
2026-08-15 11:59:17,Bielefeld Schildesche,11:00:00,12:00:00,24,LOW
2026-08-15 11:59:17,Bielefeld Sieker,11:00:00,12:00:00,18,LOW
2026-08-15 11:59:17,Bielefeld City,11:00:00,12:00:00,18,LOW
2026-08-15 12:31:43,Bielefeld Schildesche,12:00:00,13:00:00,26,LOW
2026-08-15 12:31:43,Bielefeld Sieker,12:00:00,13:00:00,16,LOW
2026-08-15 12:31:43,Bielefeld City,12:00:00,13:00:00,21,LOW
2026-08-15 12:59:15,Bielefeld Schildesche,12:00:00,13:00:00,27,LOW
2026-08-15 12:59:15,Bielefeld Sieker,12:00:00,13:00:00,14,LOW
2026-08-15 12:59:15,Bielefeld City,12:00:00,13:00:00,20,LOW
2026-08-15 13:28:27,Bielefeld Schildesche,13:00:00,14:00:00,30,LOW
2026-08-15 13:28:27,Bielefeld Sieker,13:00:00,14:00:00,15,LOW
2026-08-15 13:28:27,Bielefeld City,13:00:00,14:00:00,18,LOW
2026-08-15 13:38:49,Ahlen City,13:00:00,14:00:00,8,LOW
2026-08-15 13:38:49,Bonn Hardtberg,closed,closed,0,CLOSED
2026-08-15 13:38:49,Ahlen Süd,13:00:00,14:00:00,13,LOW
2026-08-15 13:38:49,Ansbach,13:00:00,14:00:00,7,LOW
2026-08-15 13:38:49,Bielefeld City,13:00:00,14:00:00,19,LOW
2026-08-15 13:38:49,Alsfeld,13:00:00,14:00:00,8,LOW
2026-08-15 13:38:49,Augsburg-Haunstetten,13:00:00,14:00:00,24,LOW
2026-08-15 13:38:49,Bocholt,13:00:00,14:00:00,21,LOW
2026-08-15 13:38:49,Augsburg-Stadtbergen,13:00:00,14:00:00,22,LOW
2026-08-15 13:38:49,Bad Oeynhausen,13:00:00,14:00:00,12,LOW
2026-08-15 13:38:49,Bremen Osterholz,closed,closed,0,CLOSED
2026-08-15 13:38:49,Bielefeld Brackwede,closed,closed,0,CLOSED
2026-08-15 13:38:49,Bergisch Gladbach,13:00:00,14:00:00,14,LOW
2026-08-15 13:38:49,Bassum,closed,closed,0,CLOSED
2026-08-15 13:38:49,Berlin Moabit,13:00:00,14:00:00,6,LOW
2026-08-15 13:38:49,Bielefeld Sieker,13:00:00,14:00:00,16,LOW
2026-08-15 13:38:49,Achim,closed,closed,0,CLOSED
2026-08-15 13:38:49,Bielefeld Schildesche,13:00:00,14:00:00,30,LOW
2026-08-15 13:38:49,Bad Hersfeld,13:00:00,14:00:00,10,LOW
2026-08-15 13:38:49,Bochum,13:00:00,14:00:00,11,LOW
2026-08-15 13:38:49,Bonn Auguststraße,closed,closed,0,CLOSED
2026-08-15 13:38:49,Bremen Admiralstraße,closed,closed,0,CLOSED
2026-08-15 13:38:49,Borken,13:00:00,14:00:00,14,LOW
2026-08-15 13:38:49,Bonn Endenich,13:00:00,14:00:00,18,LOW
2026-08-15 13:38:49,Bottrop,13:00:00,14:00:00,18,LOW
2026-08-15 13:38:49,Bremen Munte,13:00:00,14:00:00,17,LOW
2026-08-15 13:38:49,Bremen Oberneuland,closed,closed,0,CLOSED
